title,make,model,year,condition,transmission,price
Honda Accord 2009 Silver,Honda,Accord,2009,Local Used,Automatic,6700000.0
Honda CR-V 2013 Green,Honda,CR-V,2013,Local Used,Automatic,10500000.0
BMW 328i 2013 White,BMW,328i,2013,Foreign Used,Automatic,15500000.0
Toyota Highlander Limited 2012 Black,Toyota,Highlander Limited,2012,Foreign Used,Automatic,18500000.0
Lexus ES 350 FWD 2013 Black,Lexus,ES 350,2013,Foreign Used,Automatic,17050000.0
Mercedes-Benz GLA-Class 2018 Black,Mercedes Benz,GLA-Class,2018,Foreign Used,Automatic,28000000.0
Volkswagen Jetta 2013 White,Volkswagen,Jetta,2013,Foreign Used,Automatic,10300000.0
Honda Accord 2010 Gray,Honda,Accord,2010,Local Used,Automatic,6500000.0
Mercedes-Benz C230 2007 Silver,Mercedes Benz,C230,2007,Local Used,Automatic,5100000.0
Toyota Camry XSE FWD 2020 Red,Toyota,Camry XSE,2020,Local Used,Automatic,26500000.0
Mercedes-Benz GLK-Class 2014 Silver,Mercedes Benz,GLK-Class,2014,Foreign Used,Automatic,15200000.0
Mercedes-Benz M Class 2013 Black,Mercedes Benz,M Class,2013,Foreign Used,Automatic,19500000.0
Lexus RX 350 FWD 2012 Red,Lexus,RX 350,2012,Foreign Used,Automatic,16500000.0
Acura MDX 2016 White,Acura,MDX,2016,Foreign Used,Automatic,16000000.0
Toyota Corolla 2010 Gold,Toyota,Corolla,2010,Local Used,Automatic,7500000.0
Honda Accord 2008 Silver,Honda,Accord,2008,Local Used,Automatic,5800000.0
Honda Accord Sport SE 4dr Sedan FWD (2.4L 4cyl 2A) 2017 Blue,Honda,Accord Sport,2017,Foreign Used,Automatic,13500000.0
Honda Accord 2009 Maroon,Honda,Accord,2009,Local Used,Automatic,6100000.0
Toyota Corolla 2018 Black,Toyota,Corolla,2018,Foreign Used,Automatic,16500000.0
Honda CR-V 2012 Burgundy,Honda,CR-V,2012,Local Used,Automatic,9800000.0
Honda Civic EX-T 2dr Coupe (1.5L 4cyl) 2016 Black,Honda,Civic EX-T,2016,Foreign Used,Automatic,16000000.0
Mercedes-Benz E350 2007 Silver,Mercedes Benz,E350,2007,Local Used,Automatic,5200000.0
Hyundai Elantra 2013 Gray,Hyundai,Elantra,2013,Foreign Used,Automatic,10500000.0
Honda Accord 2018 Gray,Honda,Accord,2018,Foreign Used,Automatic,18800000.0
Mercedes-Benz C300 2012 Gray,Mercedes Benz,C300,2012,Local Used,Automatic,8800000.0
Toyota Corolla 2006 Gold,Toyota,Corolla,2006,Local Used,Automatic,6300000.0
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2011 Gray,Acura,MDX Advance,2011,Local Used,Automatic,7500000.0
Toyota Camry 2009 Green,Toyota,Camry,2009,Foreign Used,Automatic,9200000.0
